#{"t_start": 1779808149.618602, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-378.876902,85,0.041551
-159.82227,128,0.093566
-290.654698,103,0.134096
-81.297076,117,0.17914
-105.198176,115,0.226316
-132.151458,69,0.252825
-381.258551,101,0.295584
-399.948865,106,0.338703
-376.903173,130,0.392419
-317.403104,110,0.434959
-73.170221,75,0.464974
-409.918728,113,0.508039
-80.935215,101,0.547282
-85.466174,185,0.623313
-192.790367,85,0.658865
-153.184589,85,0.691374
-290.768456,119,0.738902
-59.023436,104,0.778036
-241.333078,107,0.820568
-94.811375,93,1.582211
-316.354281,178,1.653253
-198.470315,137,1.707147
-428.568773,122,1.753671
-351.897924,133,1.803263
-99.760103,125,1.851795
-37.309106,72,1.88184
-273.293312,110,1.928367
-84.076405,75,1.957877
-81.035714,111,2.001893
-78.088473,109,2.047916
-320.143527,111,2.090955
-159.827734,115,2.136911
-40.86737,72,2.16625
-433.138758,178,2.236488
-312.761154,119,2.285516
-397.83094,150,2.34304
-59.160488,65,3.12667
-187.157779,145,3.185699
-113.49361,92,3.221216
-127.94475,122,3.268925
-376.908337,148,3.325456
-46.775007,80,3.35848
-127.38711,134,3.409514
-136.874573,119,3.456546
-80.568352,83,3.488689
-26.750954,1000,3.889331
-87.316469,103,3.92835
-356.495101,134,4.717239
-129.134998,125,4.763272
-130.647008,102,4.802783
-11.311025,82,4.835305
-114.816512,98,4.875082
-282.366793,193,4.95128
-179.466291,130,4.999313
-308.367326,114,5.042518
-209.60516,113,5.086534
-15.538375,128,5.13556
-95.481398,162,5.202703
-106.413867,92,5.239729
47.765285,89,5.274784
-157.179535,124,5.321331
-94.727073,113,5.364843
-131.506954,81,5.396858
-93.365852,92,5.431885
16.392855,110,6.182976
-32.526712,178,6.25259
-277.513465,124,6.302614
-76.827082,101,6.340138
-187.708873,105,6.380654
-92.134741,182,6.453747
-148.016698,117,6.498811
-88.087368,117,6.545964
-68.836616,80,6.576508
-299.551308,140,6.628014
-64.175215,79,6.660435
-76.491957,133,6.710276
-184.113803,83,6.743387
